Machine Type,MACHINE,Problem Description,Root Cause,Action Taken
Unknown,Unknown,Root Cause : Carrier cover was not opening due to a loose arm mounting bolt.,Identified during failure analysis,Install an additional nut to the arm mounting bolt to prevent future loosening and ensure reliable operation of the carrier cover.
General Equipment,ITS,Alarm/ Indication : Mover not moving in Cosmetic Sticking Machine,Identified during failure analysis,"Corrective Action : Rotor Static Mode parameter was OFF, and the machine was restarted to resume normal operation with the help of PLC Program."
Unknown,Unknown,Root Cause : Static rotor mode was ON as manual operation was done by the operator in HMI During the COT (shift changeover).,Identified during failure analysis,See problem description
Unknown,Unknown,This parameter activation led to the mover getting stuck.,Identified during failure analysis,See problem description
Loading System,PCM Loading,Alarm/ Indication : “Abnormal failure in material detection 2 of Protection plate 1” alarm indication in HMI,Identified during failure analysis,Corrective Action :Pneumatic Pipe cut and again installed in connector.
Unknown,Unknown,Root Cause : Leakage found of vacuum pipe at PCM unloading Arm to the Pack,Identified during failure analysis,Note: Sleeve is provided to avoid the Pneumatic pipe leakage.
General Equipment,Cosmetic Wrapping,Root Cause : Tape Roll got stuck in roller of Feeder.,Identified during failure analysis,Compensation value increased in CCD Software to avoid Tape picking issue in higher offset.
Unknown,Unknown,Offset value is getting higher than the compensation value.,Identified during failure analysis,
Loading System,PCM Loading,Root Cause : Side Datum spring block found loose due to which tray alignment not OK.,Identified during failure analysis,Side Datum Spring block tightened and marking done.
Loading System,Cell Loading,Root Cause : Spring buckle opens Bolt thread damage due to which looseness occurred.,Identified during failure analysis,New Bolt provided & tighten done by thread Glue
General Equipment,FT Machine,Alarm/ Indication : “Robot- 4 vacuum alarm”,Identified during failure analysis,Replaced the new vacuum cup and run the machine.
Unknown,Unknown,Root Cause : Robot- 4 part not picking due to vacuum cup wear and tear,Identified during failure analysis,See problem description
General Equipment,Leakage testing,Alarm/ Indication : “PLC and Drive Communication error”,Identified during failure analysis,Corrective Action : Communication cable changed with new one and run the machine.
Unknown,Unknown,Root Cause :Communication error due communication cable faulty,Identified during failure analysis,"Plan to be made of all communication cable change, Target date:- 29.08.24"
Assembly Station,Pre APMT,Alarm/ Indication : “ ST-10 Slide Cyl. Fail”,Identified during failure analysis,Corrective Action : Cylinder mounting tightened and marking done .
Unknown,Unknown,Root Cause : ST-10 Slide Cyl. Fail due Slide Cylinder alarm was coming due to part location mounting loose,Identified during failure analysis,Check point to be added mounting check in PM check sheet. Target Date:- 28.08.2024
Inspection Station,Connector inspection,Alarm/ Indication : bof In Move Upd_Big is not ON alarm X306,Identified during failure analysis,Corrective Action : Reed switch change.
Unknown,Unknown,Root Cause : Reed switch not work because read switch wire stretch,Identified during failure analysis,Properly rooting done to avoid same issue.
Loading System,PCM loading,Alarm/ Indication : PCM NG conveyor sensor continue alarm,Identified during failure analysis,Corrective Action : Adjust the sensor position.
Unknown,Unknown,Root Cause : Sensor output continue high due to Receiver sensor Position disturbed,Identified during failure analysis,See problem description
Assembly Station,Pre- APMT,Alarm/ Indication : Air pressure insufficient & hard Disk load overrun.,Identified during failure analysis,Corrective Action : Hard disk old data clearance done and then Restart software & machine restart.
Unknown,Unknown,Root Cause :This Alarm Popup when more than 80% Hard Disk got full.,Identified during failure analysis,Preventive Action : Check sheet made to clear hard disk data clean.
Unknown,Unknown,And with this Air Pressure low fake alarm generated,Identified during failure analysis,See problem description
Assembly Station,Post - APMT,Alarm/ Indication :ST40_ SortAxis B_FetchCYD_HomeFail Alarm.,Identified during failure analysis,Corrective Action : Pneumatic Pipe Changed.
Unknown,Unknown,Root Cause : Pneumatic Pipe Damaged of ST40 station Cylinder due to wrong fitment in drag chain,Identified during failure analysis,Preventive Action : Dressing done properly within the drag chain to avoid any twisting within the drag chain.
Loading System,PCM Loading,Alarm/ Indication : “Pressure PCM Translation 1 Not ON Alarm X3.06” indication on HMI,Identified during failure analysis,Corrective Action : Mechanical Adjustment Done of Put PCM 1 Clamp Cylinder.
Unknown,Unknown,Root Cause : Found that while Put PCM 1 Came to their Put position then their finger Stuck to the PCM Clamping Cylinder.,Identified during failure analysis,Match Marking Done and machine Run under observation for 2 hours.
General Equipment,Cosmetic Sticking,Alarm/ Indication : “Paper Detection CCD Cumulative NG Alarm”.,Identified during failure analysis,Corrective Action : Feeder locking Lever holding Rod taken up and locknut tightened.
Unknown,Unknown,Root Cause : During the Tape Picking of robot from Feeder 1 found that it was having movement.,Identified during failure analysis,Marking Done at Locknut.
General Equipment,VHB,Alarm/ Indication : “VHB topping Z2 is not enabled”,Identified during failure analysis,Corrective Action : Remove the NG tape from Platform and initial the machine.
Unknown,Unknown,Root Cause : VHB Topping 2 Station Z axis Drive disable alarm due to VHB cleaning platform height increase because Cleaning platform have NG tape,Identified during failure analysis,Preventive action: After Alarm will popup in machine HMI and cleaning will be done by production team.
Assembly Station,PRE-APMT,Alarm/ Indication : “ST10_S2_SidePushCYD1_Homefail”Alarm indication .,Identified during failure analysis,Corrective Action : Open the Block rail Bearing of Side Push Cylinder Cleaning done and provided the grease in block bearing.
Unknown,Unknown,Root Cause : After Opening the assembly of SidePushCYd1 found that the Block rail Bearing was not moving freely.,Identified during failure analysis,
General Equipment,VHB,Alarm/ Indication : “VHB CCD ng alarm came ”,Identified during failure analysis,Corrective Action : Z- height parameter adjusted of VHB lifting position from tear station and run the machine.
Unknown,Unknown,"Root Cause: As observed VHB pull tape bend during the picking of VHB tape from the tear station ,",Identified during failure analysis,VHB lifting position before:- 4 mm
Unknown,Unknown,During the speed optimization of the VHB machine.,Identified during failure analysis,VHB lifting position after :- 2 mm
Assembly Station,Post APMT,"Alarm/ Indication : “FAI 51 NA Showing "" on Post APMT Machine.",Identified during failure analysis,Corrective Action : Cleaning done of all station with lint free cloth and restart the software and run the machine.
Unknown,Unknown,"Root Cause : The FAI51 NG showed NA value, which resulted in discarding the part. Root cause under analysis. DRI –TzTek ( Zhou ).",Identified during failure analysis,See problem description
General Equipment,Cell Tab Z-Bending and Cutting,Alarm/ Indication: “ BofTear Clamp is Not on Alarm X314” Showing in HMI.,Identified during failure analysis,Corrective Action : Change FCV Connector of Tear Centrifugal paper Cylinder with new one.
Unknown,Unknown,Root Cause : FCV Thread Broken due to Rotary cylinder Speed was high,Identified during failure analysis,Speed optimization done and lock the FCV nut.
General Equipment,Tab Cutting & Flattening,Alarm/ Indication :“BOF Plast Lift CYD is Not Off Alarm X307”,Identified during failure analysis,Corrective Action : Plast lift cylinder Changed With New One.
Unknown,Unknown,Root Cause :The Plast Lift Cylinder became stuck because the balls within the cylinder's linear bearing were damaged.,Identified during failure analysis,See problem description
Unknown,Unknown,Model No: MAXAIR AXS16-20A,Identified during failure analysis,See problem description
Loading System,Cell loading,Alarm/ Indication :“bofInRbt_ Vacuum1 is not restore to the initial state” alarm indication on HMI,Identified during failure analysis,Corrective Action : The dead stopper was adjusted to increase the tension in the spring.
Unknown,Unknown,"Root Cause : The height of the vacuum pad was too high, which resulted in insufficient spring tension during the pick operation.",Identified during failure analysis,See problem description
Loading System,Cell Loading,Alarm/ Indication : “bofClose2_VacuumMove1 is not restored to its initial state Q5.4” indication in HMI,Identified during failure analysis,Corrective Action : The damaged Part was replaced with a new one.
Unknown,Unknown,"Root Cause: The rubber seal for vacuum formation in carrier at loading Stage was damage, leading to a loss of vacuum and triggering the alarm.",Identified during failure analysis,See problem description
General Equipment,FT Machine,Alarm/ Indication : “Robot 2 Clamp Cylinder not ON” – Alarm indication in the Ft machine.,Identified during failure analysis,Corrective Action : The Z-axis height at this position of the robot was adjusted upward by 0.5 mm to prevent the clamp from getting stuck in the open position.
Unknown,Unknown,"Root Cause: At channel No. 31, the clamp was getting stuck while opening, which triggered the alarm.",Identified during failure analysis,The machine was monitored for 4 hours to ensure the issue was resolved.
General Equipment,VHB Machine,Alarm/ Indication : “VHB feed turntable2 axis alarm( Drive Mode Alarm)”.,Identified during failure analysis,Corrective Action : Communication Cable Change Between Drive no.27 to 28.
Unknown,Unknown,Root Cause: Communication cable faulty between Drive no 27 to 28 as checked by Beckhoff PLC software.,Identified during failure analysis,Replace with Ethernet cable & M/C initial.
Assembly Station,POST-APMT,Alarm/ Indication : “FAI 51- NA” indication on Display of machine.,Identified during failure analysis,Corrective Action : Measuring Background Software updation done. DRI- TZTEK
Unknown,Unknown,Root Cause: Measuring software error for FAI51.,Identified during failure analysis,See problem description
Unknown,Unknown,FAI 51 NA Parts were coming out from machine and getting Discard.,Identified during failure analysis,See problem description
General Equipment,VHB Machine,Alarm/ Indication: Pull Tape wrap NG at LQC station,Identified during failure analysis,Corrective Action : New Silicon Pad replaced.
Unknown,Unknown,"Root Cause : The silicon pad on VHB Wrap block1 is damaged, affecting the tape wrapping process.",Identified during failure analysis,And Adjust the wrapping parameter to avoid the Pull Tape Ng and Pad Damage.
Loading System,Cell Loading,Alarm/ Indication: : “No material bright abnormally in place on the feeding platform”X15.5” Alarm indication in HMI.,Identified during failure analysis,Corrective Action: Adjust the Tray separator cylinder to realign the feeding tray and ensure proper detection by the tray presence sensor.
Unknown,Unknown,Root Cause : The last feeding tray is not detected by the tray presence sensor because it is misaligned by the tray separator cylinder before reaching the cell discharge position.,Identified during failure analysis,Feeding tray take Upward servo position.
Loading System,PCM loading,Alarm/ Indication: “Abnormal situation of no material on the material detection 3 of the middle rotating disk of the protection plate -- X10.16” indication on HMI,Identified during failure analysis,Corrective Action : The optical fiber sensor cable was replaced and reconnected to the amplifier.
Unknown,Unknown,Root Cause : The PCM presence sensor at the PCM loading turntable experienced a permanent low signal due to a breakage in the middle of the optical fiber cable.,Identified during failure analysis,The optical fiber cable has been properly dressed and secured to prevent any future breakage.
General Equipment,Water Ingress Sticking,Alarm/ Indication: “Feeder1 feeding Abnormal” alarm displayed on HMI.,Identified during failure analysis,"Corrective Action : The sticked tape was removed from the feeder, and the feeder was reinitialized to resolve the issue."
Unknown,Unknown,Root Cause : The tape which is used to get NG during Roll Setup are accumulated in the unreel roller. This accumulation caused the roller to become stuck.,Identified during failure analysis,Operator training has been conducted to ensure that the roller is cleaned thoroughly during each roll change to prevent similar issues in the future also Instruction provided.
General Equipment,FT Machine,Alarm/ Indication: “2# Robot does not respond alarm” indication on HMI,Identified during failure analysis,"Corrective Action : OSS and supplier support were engaged to resolve the issue and The hand mode command for tester number 31 was adjusted from the CCD settings to match the correct mode, resolving the soft limit issue."
Unknown,Unknown,"Root Cause :Mismatch in hand mode settings between tester number 31 and other testers, caused by incorrect hand mode command from the CCD configuration.",Identified during failure analysis,Check all 4 robots at each tester to ensure proper hand mode settings are consistently applied.
General Equipment,VHB Machine,Alarm/ Indication: “Vacuum_VHBTrans1 is not ON X1011” indication on HMI,Identified during failure analysis,"Corrective Action : Installed two button head bolts at each feeder and verified effectiveness over 6 hours, with positive results."
Unknown,Unknown,"Root Cause : Insufficient bolting separator at the feeder with only one bolt used for VHB separation, leading to ineffective translocation and vacuum alarm.",Identified during failure analysis,Update PM check sheet to include verification of two Button Head Bolts at each feeder.
General Equipment,Cell Tab Z-Bending & Cutting,Alarm/ Indication: “The CCD measuring upload accumulated NG alarm” indication in HMI,Identified during failure analysis,Corrective Action : Ceramic cutter was replaced with a new one to restore proper cutting quality.
Unknown,Unknown,"Root Cause : On Checking Tab ceramic cutter we found proper sharpness is not there, leading to suboptimal cutting performance and CCD NG was coming.",Identified during failure analysis,Added a point to the TBM (Time Based Maintenance) check sheet to monitor cutter life.
General Equipment,Tab Bending,Alarm/ Indication: “Insufficient Air Pressure “ alarm indication in HMI,Identified during failure analysis,Corrective Action : Replaced the faulty pressure gauge with a new one to restore proper pressure readings and eliminate the alarm.
Unknown,Unknown,"Root Cause : The pressure gauge was faulty and could not send the output to the PLC, which triggered the alarm.",Identified during failure analysis,See problem description
Unknown,Unknown,Model: Panasonic DP-100,Identified during failure analysis,See problem description
Battery Management Unit,BMU Tape sticking,Alarm/ Indication: “Feida 1 abnormal feeding” alarm indication on HMI,Identified during failure analysis,Corrective Action : Replaced the broken bolt with a new one and realigned the mounting to ensure proper functioning of the feeder.
Unknown,Unknown,"Root Cause : The bolt of the feeder's upper clamp cylinder got loose resulted overstress, leading to the abnormal feeder condition.",Identified during failure analysis,Now point added in the PM Checksheet to check the 0.1mm gap by filler gauge between plate and clamp.
Loading System,Pack Unloading Machine,Alarm/ Indication: “PCD Detection CCD accumulated NG alarm” indication on HMI,Identified during failure analysis,Corrective Action : Replaced the dim CCD light with a new one to resolve the issue.
Unknown,Unknown,Root Cause : The CCD light was found low due to an internal fault in the CCD light .,Identified during failure analysis,"After checking and analyzing, it was determined that the CCD software contrast settings were correct, indicating that the issue was the light only."
Assembly Station,Pre APMT,Alarm/ Indication: “LMI激光线程启动超时” alarm indication on Monitor.,Identified during failure analysis,"Corrective Action : Performed a power reset on the machine and device, and restarted all software again."
Unknown,Unknown,Alarm in English: Time Out for LMI laser thread,Identified during failure analysis,"According to OSS Team support, if this issue recurs in the future, it may indicate a problem with the communication cable. In such a case, replace the communication cable to resolve the issue and prevent recurrence."
Unknown,Unknown,"Root Cause : Communication break between LMI Device and Controller, leading to the alarm at the start of the shift.",Identified during failure analysis,See problem description
Unknown,Unknown,Coupler type communication and Power cable are using in device.,Identified during failure analysis,See problem description
General Equipment,Cosmetic Wrapping,Alarm/ Indication: “bofBigEarWrapPress1 is not OFF alarm X409” alarm indication on HMI.,Identified during failure analysis,"Corrective Action : The loose cylinder bolt was retightened, and the machine was run under observation to ensure proper operation."
Unknown,Unknown,"Root Cause : The cylinder's guide rail bolt became loose, preventing the cylinder from reaching its initial position, which triggered the alarm.",Identified during failure analysis,"Thread lock was applied to the bolt to ensure it does not loosen again, preventing recurrence of the issue."
General Equipment,VHB Machine,Alarm/ Indication: “Vacuum_VHB1 is not ON X1009” alarm indication on HMI,Identified during failure analysis,Corrective Action : The damaged vacuum cup was replaced with a new one to restore normal operation.
Unknown,Unknown,"Root Cause : The vacuum cup was damaged, leading to the failure of vacuum formation, which triggered the alarm.",Identified during failure analysis,A regular inspection of the vacuum cup has been added to the Preventive Maintenance (PM) check sheet.
Loading System,Cell Loading,Alarm/ Indication: “Reinput 2 Is there any abnormal material unbrightening detected on the battery” alarm indication on HMI,Identified during failure analysis,Corrective Action : The carrier was removed from the machine and The machine was initialized again.
Unknown,Unknown,"Root Cause : An empty carrier was reinput onto the part with the carrier loading conveyor, leading to detection issues and generation of alarm.",Identified during failure analysis,Training given to the operators on proper loading carrier in machine conveyor.
General Equipment,VHB Machine,Alarm/ Indication: “VHB shift CCD 1 continuous NG alarm” alarm indication on HMI,Identified during failure analysis,Corrective Action : CCD Edge detection done properly of Pull Tape.
Unknown,Unknown,Root Cause : Insufficient lighting at the backside where the pull tape is located prevented proper detection by the CCD.,Identified during failure analysis,Installed a block to enhance illumination for better image capture by the CCD.
General Equipment,Leakage part issue LQC,Unknown issue,Identified during failure analysis,A12 to post APMT clean and run
General Equipment,_,_,Identified during failure analysis,7 - carriors add
General Equipment,A5,A5 loading camera communication fail,Not specified,Camera communication unplug and software restart and taken backup
General Equipment,Barcode,Barcode font NG,Not specified,Priter change and FAI adjust
General Equipment,Drive,Drive mode alarm,Not specified,SPMS change and faulty cable change
General Equipment,BIS,BIS pc not on,Not specified,BIS Cpu adapter change
General Equipment,Upper,Upper PC hang,Not specified,Restart pc and run
General Equipment,OK,OK Discharge block sensor abnormal,Not specified,Manually ajust than run the line.
General Equipment,Upper,Upper side PC hang 2 time,Not specified,Restart the pc .
General Equipment,Fai,Fai 77 A side NG,Not specified,X1 servo postion .24 down side
General Equipment,M/C,M/C Auto Power off,Not specified,OK Discharge robot servo motor power cable short so change the new power cable.
General Equipment,All,All servo drive shows alarm on HMI,Not specified,Reset the alarm & recover servo position. (Root cause not found)
General Equipment,FAI,FAI 75 NG,Not specified,Change A3 X1 axis position change (4.10 to 4.40)
General Equipment,FAI,FAI 68 NG,Not specified,Change A3 Y1 axis position change (288.40 to 287.30)
General Equipment,Drive,Drive error #42 Number,Not specified,Reset IT from PLC
General Equipment,A6,A6 Pad Printing not proper is coming,Not specified,Cleaned the pad after that
General Equipment,Drive#13,Drive#13 go in error,Not specified,Reset IT by drive power on/off
General Equipment,OK,OK discharge block sensor abnormal,Not specified,Manual run and memory clear
General Equipment,Feeding,Feeding robot vacuume not on,Not specified,Feed cell lift memory clear and feeding robot part alignment set .
General Equipment,Ok,Ok Discharge robot error (e-08) robot controller.,Not specified,Controller power cable reconnect & reference the robot.
General Equipment,B4,B4 oil cup servo limit sensor not working.,Not specified,Change new sensor than run the line.
General Equipment,Inkjet,Inkjet QR time out,Not specified,Software re start.
General Equipment,ITS,ITS not ready,Not specified,Initialize the ITS then ok.
General Equipment,A6,"A6 pad printing is not proper being done, fail issue at FAI63",Not specified,Change the pad printing by operator after that ok
General Equipment,A4,A4 pad printing not proper,Not specified,Cleaned printing pad and insert thinner in inkpot after that ok
General Equipment,Feed,"Feed tray drive go in error, not reset being done by HMI",Not specified,Reset it from PLC Then ok
General Equipment,FAI,FAI 66 NG,Not specified,Given off set
General Equipment,Fail,Fail 67 NG,Not specified,A3 inkjet x2 servo value change 62.50 to 62.47
General Equipment,A3,A3 inkjet x1 servo axis alarm,Not specified,Manual run
General Equipment,B4,B4 pad printing ng issue,Not specified,Cleaned the printing pad then ok
General Equipment,A5,A5 pad printing not proper being done,Not specified,Clean the printing pad and insert thinnerthen ok （ that is 3 time happend）
General Equipment,B6,B6 pad printing not proper is coming,Not specified,Cleaned pad but problem is continue，change the printing pad after that ok
General Equipment,Feeding,Feeding Robot not repond,Not specified,Manually home position by software.
General Equipment,A1,A1 ryt side clyender vaccum issue,Not specified,Foam tape sticking
General Equipment,Barcode,Barcode tilt issue A side,Not specified,A3 inkjet clean A side
General Equipment,Barcode,Barcode shirnk B side,Not specified,A3 inkjet clean B side
General Equipment,FAI,"FAI 75 ,66,& 68 ng in noncosmetic side",Not specified,"Clean mover ,baecode roi teach ,and change feed turn table servo discharge position ,"
General Equipment,FAI,FAI 72 ng cosmetic side,Not specified,Work in cosmetic region by chaines team with akash
General Equipment,NG,NG robot vacuume not on,Not specified,Change tray picking position ( mechanically)
General Equipment,A6,A6 Non casmetic print Ng issue,Not specified,Changed the Pad
General Equipment,G11001029,"Mover Number JQSG11001029A antena spring get damage, so mover power off.",Not specified,Changed the mover antena spring
General Equipment,Checked,Checked all mover Antena spring,Not specified,Found mover JQSG11001018A and JQSG11001002A spring get damage so changed the same
General Equipment,A5,A5 pad printing lift servo limit alarm,Not specified,"Observe and found glue roll lot of accumulate on scrap side so servo hit with scrap roll during cleaning, removed it then ok"
General Equipment,Casmetic,Casmetic Side PC software hange issue,Not specified,Close from taskbar and restart soft then ok
General Equipment,Non,Non Casmetic Side PC hange,Not specified,Restart the PC
General Equipment,*,* One part Ng reported where extra mateial on cell,Not specified,"Quality also approved it, that is a incoming materials issue, their analysis mailed"
General Equipment,4-1,4-1 discharge turntable Vacuume not ON,Not specified,Set vacuume pressure by controller
General Equipment,NG,NG robot tray vacuume not on,Not specified,Tray alignment set
General Equipment,Tea,Tea time,Not specified,See problem description
General Equipment,MES,MES not work （barcode not print ）,Not specified,Shift update in moon line
General Equipment,OK,OK discharge battery exicete limit sensor abnormal,Not specified,Manually operate and run
General Equipment,Feeding,Feeding robot 4 vacuume not on,Not specified,Spange tape mount
General Equipment,A5,A5 pad broken （ servo not run）,Not specified,Drive power off/on and manually operate servo at home position。
General Equipment,Feed,Feed tray vacuume not on,Not specified,Manually operate and run
General Equipment,OK,OK tray limit out of reach 3 time,Not specified,Ok discharge robot & OK battery memory clear and run
General Equipment,3554,3554 pade printing,Not specified,Pressure paper 50 % complete
General Equipment,Machine,Machine clear 2 time,Not specified,Due to one operator
General Equipment,NG,NG discharge robot tray vacuume not,Not specified,Tray alignment set
General Equipment,3554,"3554 pad printing cosmetic side FAI 60,61 ng",Not specified,Stencle pate change and set servo position
General Equipment,Feed,Feed platform vacuume 3 not on,Not specified,Set vacuume pressure by controller
General Equipment,Feed,"Feed turntable 1-1,1-2 , vacuume not on",Not specified,Set vacuume pressure by controller
General Equipment,Ok,Ok block dischsrgre sensor abnormal,Not specified,Manually operate and run
General Equipment,Feed,Feed turntable vacuume not on,Not specified,Set vacuume pressure by controller
General Equipment,Feed,Feed platform vacuume not on,Not specified,Set vacuume pressure by controller
General Equipment,A1,A1 vacuume not on,Not specified,Set vacuume pressure by controller
General Equipment,B1,B1flip vacuume not on,Not specified,Set vacuume pressure by controller
General Equipment,Air,Air pressure low,Not specified,Air pressure cut from utility
General Equipment,Feed,Feed robot vacuum-1 alarm is not on.,Not specified,"Found robot suction pad 1 come out from mounting so part fall dwon and get damage , Suction pad locking is not proper work, so pad fix with LP"
General Equipment,Feed,Feed Turntable pad no. 1_2 position straightness cylinder reed switch alarm,Not specified,"Part stuck with cylinder straightening block, vacuum is not made on feeding time but sensor is high, so turntable move and part stuck, now pressure sensor setting done and previous inserted tape remove on pad, replace it with cellotape then ok"
General Equipment,B4,B4 & B5 glue tape is over,Not specified,Change glue roll by operator
General Equipment,CCD,"CCD time out error show in HMI, PC hange issue",Not specified,"CCD time out error show in HMI, PC hange issue"
General Equipment,Feeding,Feeding platform tray tild issue so vacuum is not made up during cell picking.,Not specified,Feeding tray alignment done
General Equipment,Feed,"Feed turntable pad 4.1,4.2 vacuum issue",Not specified,Cleaned pad and change pre inserted tape with cellotape then resolved
General Equipment,I77,FAI77 issue is coming at higher side,Not specified,For FAI77 we have servo initial& trigger position set in A3 inkjet 1Y servo befor- 287.29 after 288.29 then resolved
General Equipment,FAI,FAI 66 issue at higher side,Not specified,"Set the servo initial and trigger position before-4.40, after- 4.80 then ok"
General Equipment,Feed,Feed Turntable vacuum alarms 3.1 & 3.2 pad,Not specified,Vacuume pad clean and set from flow control valve
General Equipment,FAI,FAI 68 issue at higher side,Not specified,Barcode printer head A side mechnical adjusment .
General Equipment,One,One part issue,Not specified,Bubble coming on material so bubble burst during printing so part get lealage
General Equipment,B4,Casmetic side B4 print NG issue,Not specified,"Clean pad and running machine(4-time) but printing not being done, change the silicon pad then ok"
General Equipment,A,A 6 tape empety,Not specified,Tape roll change
General Equipment,X-3554,"X-3554 Line FAI 61,63 NG",Not specified,Change the value of correction servo & B5pad printing mobile servo
General Equipment,A6,Non casmetic A6 side printing ng issue,Not specified,Cleaning glue tape breake on cleaning position，reinsert the same
General Equipment,I68,FAI68，62，issue,Not specified,"Feeding Turntable station-2 part position cylinder found bypass from B shift, still running under observation."
General Equipment,Some,Some part printing not being done of all printing station(21 Nos),Not specified,Why not running Need to discuss with KB
General Equipment,A5,Non casmetic A5 side printing ng issue,Not specified,Cleane the silicon printing pad and steel plate
General Equipment,A3,A3 inkjet left side printer shows alarm,Not specified,Printer head cleaned.
General Equipment,Tea,Tea time & dinner time,Not specified,See problem description
General Equipment,Work,Work on X 3554 pad printing machine,Not specified,See problem description
General Equipment,VDN,VDN line1 connector deformation A side,Not specified,Change robot A1 jog value （ 310.300to 310.260）
General Equipment,I72,FAI72 issue come at higher side,Not specified,Adjust Offset of CCD （Befor-6.680 After 6.660）
General Equipment,B4,Non casmetic B4 side printing issue on logo,Not specified,Clean pad and Steel plate
General Equipment,A,A side PC hange,Not specified,Restart the PC then ok
General Equipment,B1,Air Leakage from B1 Flip move clamp-1 pnematic pipe,Not specified,Pnematic pipe connector changed
General Equipment,B2,B2 Flip clamp 1 sensor alarm come again & again.,Not specified,Set the reed s/w then ok
General Equipment,A5,"A5, A6, & B4 Printing NG",Not specified,A5 pad change and B4 & A6 Pad rub then clean all stensil.
General Equipment,X3554,X3554 Pressure Paper & Tekscan done.,Not specified,"But A5 pressure paper impression is not correct, need to take again."
General Equipment,One,One part found dent .,Not specified,By mfg person mayank
General Equipment,Ok,Ok Discharge Robot bettery not put tray,Not specified,Taching Robot now ok.
General Equipment,B4,Printing NG B4,Not specified,Change the pad & add some additive in B4 ink.
General Equipment,Barcode,Barcode not print CCD time out,Not specified,Both software restart
General Equipment,A3,A3 ryt side barcode not print,Not specified,Restart the software
General Equipment,Barcode,Barcode grade fail (A Side),Not specified,Unblocking nozzle
General Equipment,Barcode,Barcode and non cosmetic side FAI NG,Not specified,Set the servo position and given the offset in CCD
General Equipment,Barcode,Barcode grade fail bothside,Not specified,Unblocking nozzle
General Equipment,I66,FAI66 issue at higher side,Not specified,Adjusted A3 Inkjet 1X servo position in initial&trigger postion before 4.7 After 4.9mm
General Equipment,I68,FAI68 Both side issue at higher side,Not specified,Offset adjusted in CCD then ok
Printer,Printer,"Printer 1 ink not detected gutter Error,Printer automatic stoped",Not specified,Cleaned Inkjet printer head then ok
General Equipment,Barcode,Barcode barcode printing not being started,Not specified,Remove all loaded part and fress part run then ok
General Equipment,Vdn,Vdn line 1 unloading robot B pcm put at wrong place .,Not specified,Set the position of uld B .
General Equipment,APP,APP line x- 2821 barcode not print .,Not specified,"Barcode not print due to work order qty complete , then clear the machine and change the work order number after that run the line . ( this break down due to production)."
General Equipment,Feed,"Feed turntable 1-1,1-2 vacuume not on",Not specified,Set the part position and run
General Equipment,B,B side printer grade NG,Not specified,Head clean than run.
General Equipment,Dischare,Dischare turn table not a home position.,Not specified,Drive power off/on and manually operate servo at home position。
General Equipment,Tea,Tea time & lunch time,Not specified,See problem description
General Equipment,X-3554,X-3554 B 1 flip vacuume issue,Not specified,Set cylinder stoper
General Equipment,B7,X-3554 B7 Discharge vacuume issue,Not specified,Alighment set and purging set
General Equipment,X-3554,X-3554 discharge turntable vacuume issue,Not specified,Purging level set
General Equipment,FAI,FAI 68 NG issue on A side,Not specified,Dimension in OMM find correct so compensation done in A side.
General Equipment,FAI,FAI 60 Lower side due to this Print NG,Not specified,Decrease the value(0.3) in A5 mobile servo(pad reference position).
General Equipment,B4,B4 Logo NG issue.,Not specified,Clean the stencil & rub the pad.
General Equipment,L1,VDN L1 - Unmatting TransArm UpDown 1 reed switch signal not come.,Not specified,Set the position of reed s/w and initial the TransArm.
General Equipment,L1,VDN L1 - Arm Trans1 pick carrier with jerk.,Not specified,Correct the alignment of Arm Trans1
General Equipment,MES,MES PC not working,Not specified,Restart the PC then ok
General Equipment,FAI,FAI 75 come,Not specified,Head position set
General Equipment,Barcode,"Barcode grade NG ( C,D)",Not specified,Both head clean
General Equipment,Correction,Correction NG part issue- Angle issue.,Not specified,Decrese the value (0.06 mm) in both A1 Stepper rotating motors.
General Equipment,X3554,X3554 Machine readiness done & 108 Part print for pack line trial.,Not specified,See problem description
General Equipment,Matting,Matting LdArm B Grasp not work.,Not specified,PU pipe open due to FCV faulty so change the FCV.
General Equipment,Unmatting,Unmatting machine stop during running,Not specified,Initilize the whole Unmatting machine.
General Equipment,Vdn,Vdn line-1 in unloading unit arm trance 1 carrier clamping position wrong,Not specified,Arm trance 1 clamp mounting modify and run the machine
General Equipment,Vdn,Vdn line 1 split arm servo off,Not specified,Servo power supply off/on then run
General Equipment,A3,A3 scan code left NG,Not specified,24 v triggring relay change
General Equipment,Testing-03,Testing-03 Belt loading clamping not work.,Not specified,Reed s/w signal not coming due to carrier position not correct so correct the position.
General Equipment,Arm,Arm Split Servo alarm (20.5),Not specified,Servo power restart & initial the machine- 3 times
General Equipment,Feed,Feed tray move vacuume not on,Not specified,Clear memoey and run
General Equipment,2,2 Part LQC Dent,Not specified,"I ckecked, no any feasible codition found at machine side, there is material issue"
General Equipment,Feeding,Feeding robot vacuume not ok,Not specified,Mount vacuume controller.
General Equipment,Maintenance,Maintenance pending,Not specified,"Maintenance done , 1 ink filter clean ,2 100 micron filter clean ,3 ink filter pipe clean, 4 complete flushing ,"
